assignment_index,source_inscription_id,destination_address,drop_file,drop_metadata_source,drop_title,drop_ink_status,drop_radius,drop_noise_amp,drop_c_offset_0,drop_c_offset_1,drop_m_offset_0,drop_m_offset_1,drop_y_offset_0,drop_y_offset_1,drop_k_offset_0,drop_k_offset_1
45,270c23feb171781a5f927814c9f5b13a322519584d1f39ea6c7845ce2dd17533i7,bc1pl85ak0sl8vrapv6pzjve8radjthfx6lkt0hcykdh0av9xmu6r2msncannc,./inscribed.html,63594e1b8512a5ad3215acfb7470f181444c773c0953d875f9713fca3d896774i0,Triumph of Bitcoin,3,2.12,7.88e-06,0.00119,0.00768,-0.00446,-0.00677,-0.0245,0.041,20000,20000
46,2287c5b9663d0574a814be5b27439bf7cb6c41799700d594a3125c8d03c405bei4,bc1p4mkw974rwtx5pv5pmw6r5qv65379spwj5g9zx59ys05mkucn5pzqrkatz5,./inscribed.html,63594e1b8512a5ad3215acfb7470f181444c773c0953d875f9713fca3d896774i0,Triumph of Bitcoin,0,2.25,9.71e-06,-0.00178,-0.00297,-0.00448,-0.00196,-0.00206,0.00464,20000,20000
47,beb5c94caba478af4993afc00043b95a3d7ccc0890699950595b3c18be276e41i6,bc1pu692d685wemyu2mgq6v75xda9f99zh9n6mpau4pvx74e03stffqq8zatyr,./inscribed.html,63594e1b8512a5ad3215acfb7470f181444c773c0953d875f9713fca3d896774i0,Triumph of Bitcoin,0,2.47,1.97e-06,-0.000152,0.00108,0.00297,-0.00432,-0.00113,-0.00274,20000,20000
48,beb5c94caba478af4993afc00043b95a3d7ccc0890699950595b3c18be276e41i7,bc1pkhqckmxdh3mz7yld9p34w5vvzadn9y0rfa7hhqhwdpv9248hnk3se7gj32,./inscribed.html,63594e1b8512a5ad3215acfb7470f181444c773c0953d875f9713fca3d896774i0,Triumph of Bitcoin,0,2.41,1.57e-05,-0.000865,0.00087,-0.000536,-0.00261,0.0002,0.00159,20000,20000
49,bc613ed3586d3ac3a7821191e4ea916357a6fabb04dcf6a783b9bf675f57aadai5,bc1pp9ape78prng7l4pvnj42uy7gcrnkhaw6yslwal0easjw9kfllm6qj6l3yf,./inscribed.html,63594e1b8512a5ad3215acfb7470f181444c773c0953d875f9713fca3d896774i0,Triumph of Bitcoin,0,2.08,5.01e-06,0.000581,0.000208,-0.0013,-0.00171,0.00431,0.00177,20000,20000
50,07d3229fb454ff55117c675d6a0571f2e61ec2ff1deebc769e5b19aebdf0377ei2,bc1pjrg8k4r5c47a6946j7s47cw5fy6a9mqpsftct98u74km24jz96rq7uterg,./inscribed.html,5f53dd709a8d2e350674d86679ff550763502a0ff8c2b567cefa4b52f736aa7fi0,Triumph of Bitcoin,0,2.04,4.43e-07,-0.00534,-0.00632,-0.00254,0.00959,-0.00148,-0.00555,20000,20000
51,07d3229fb454ff55117c675d6a0571f2e61ec2ff1deebc769e5b19aebdf0377ei3,bc1p7e0mururgw55tnrev36f6fakfaw044nv4jatugdm9mtghm3y3cvsg7jz8h,./inscribed.html,5f53dd709a8d2e350674d86679ff550763502a0ff8c2b567cefa4b52f736aa7fi0,Triumph of Bitcoin,0,2.23,7.39e-06,-0.00184,-0.000607,0.00199,0.00274,-0.0011,0.000416,20000,20000
52,a4cc188b6227bc9bfe040ed1902c9cf8192c9ddc29d29113ca600e3b280bf608i6,bc1p0wq2htxcu0thq977jwxt29aeyk7ne5wxyurwn53y7q2h4wpj5hdq32cvn7,./inscribed.html,5f53dd709a8d2e350674d86679ff550763502a0ff8c2b567cefa4b52f736aa7fi0,Triumph of Bitcoin,0,2.23,1.54e-06,0.00563,0.00239,0.012,0.00154,0.00185,0.0039,20000,20000
53,669ac7aac4ccb8ed98c84f8e65e66e5e07820703b7bfd0eb233bb1d4b98f3a53i5,bc1pfu0evehv07hhgq3urhsfnmq4len7e3u0ddjfj8s3yluj8934l9nq4meacu,./inscribed.html,5f53dd709a8d2e350674d86679ff550763502a0ff8c2b567cefa4b52f736aa7fi0,Triumph of Bitcoin,0,2.38,2.44e-07,3.81e-05,-0.00155,0.00128,0.00344,0.00526,0.00169,20000,20000
54,1136309511b01a5ed3d6f5e51b3a21834a9729e2be8d2d2c4da645d8f73c6402i4,bc1pvtl958l34gyc3qmvfu62gl9s430s4s0v82qrg0nfz9g5m9d0vxdqdnl22p,./inscribed.html,5f53dd709a8d2e350674d86679ff550763502a0ff8c2b567cefa4b52f736aa7fi0,Triumph of Bitcoin,0,2.35,4.11e-06,0.00517,0.000527,-0.00742,-0.000537,-0.0018,0.00187,20000,20000
55,3de684d7eb2850100c20d0ca8c67a6b0106f996fe780b311b72ee0392f13c3a2i0,bc1pnrmu8tnyf7gglqqfuqdft7yu27nza2hj6y0fa5t3697mqu7wur6sedjxhs,./inscribed.html,5f53dd709a8d2e350674d86679ff550763502a0ff8c2b567cefa4b52f736aa7fi0,Triumph of Bitcoin,0,2.24,4.12e-06,0.00148,0.00135,0.0159,-0.0492,0.00141,-0.00194,20000,20000
56,21d7351a812beafaf6ca9da92c18f375d3af1c9f31c3712240da0a34d260a0efi2,bc1qmkljkm707y6kxj0jmvauz9r37az5q3xs9gv4pd,./inscribed.html,5f53dd709a8d2e350674d86679ff550763502a0ff8c2b567cefa4b52f736aa7fi0,Triumph of Bitcoin,0,2.38,1.79e-05,-0.000745,-0.00509,-0.00884,0.00547,0.000796,-0.00145,20000,20000
57,bc613ed3586d3ac3a7821191e4ea916357a6fabb04dcf6a783b9bf675f57aadai0,bc1p22xmurz5m8cmcl4yupjqm2lhyj2e2e5v65jfka4amrhw5tevvdcq46y55r,./inscribed.html,5f53dd709a8d2e350674d86679ff550763502a0ff8c2b567cefa4b52f736aa7fi0,Triumph of Bitcoin,0,2.32,9.09e-06,0.00249,0.00138,-0.00277,0.000728,-0.00175,-0.000752,20000,20000
58,f11777758bd06a70729fd2b5ef39d57f25aaef6b2642038bf47f2b19b1b94480i2,bc1ppj9fafqqxd5g3n7xhms2c4y6apg957f25chyfd4ena23d4fl4qms04p75c,./inscribed.html,5f53dd709a8d2e350674d86679ff550763502a0ff8c2b567cefa4b52f736aa7fi0,Triumph of Bitcoin,0,2.07,1.12e-05,-0.000853,-0.000836,0.00774,0.00343,-0.00498,0.000613,20000,20000
59,3de684d7eb2850100c20d0ca8c67a6b0106f996fe780b311b72ee0392f13c3a2i1,bc1psyfmvzmc5l7ak9hfe0065kz3nqkhwatc8qx0d5cd9u5k4654657syl5p9g,./inscribed.html,5f53dd709a8d2e350674d86679ff550763502a0ff8c2b567cefa4b52f736aa7fi0,Triumph of Bitcoin,0,2.07,1.01e-05,0.00358,0.00211,-0.0117,0.00253,0.00285,-0.00375,20000,20000
60,cfee628a98a4391a9bc0a870c4a25c0b094bd716e1143e806074022968f1ce46i5,bc1ptfwnjajfx6el2p950wt2d0yqtqzzjxqpqky75duf0lm8naam0vnszp2l2k,./inscribed.html,5f53dd709a8d2e350674d86679ff550763502a0ff8c2b567cefa4b52f736aa7fi0,Triumph of Bitcoin,0,2.12,1.34e-05,-0.00225,0.00275,0.00137,-0.00146,0.00326,0.000931,20000,20000
